index,source,en,ko
5559,563,"The invention relates to an internal combustion engine with an independent combustion chamber. The internal combustion engine with the independent combustion chamber is composed of a combustion chamber, an air inlet system, a feed system and an acting system. The air inlet system is connected with the combustion chamber and responsible for conveying compressed air to the combustion chamber; the feed system is connected with the combustion chamber and responsible for conveying fuel to the combustion chamber; the volume of the combustion chamber is fixed, the combustion chamber does not have a movable wall like a piston, fuel continuously burns in the combustion chamber to generate high-temperature high-pressure gas, and the chemical energy of the fuel is converted into the internal energy of the high-temperature high-pressure gas. The acting system is connected with the combustion chamber, and the piston of the acting system acts to convert the internal energy of the gas into mechanical energy.","본 발명은 연소실(1), 공기 유입 시스템(2), 재료 공급 시스템(3), 작업 시스템(4)으로 구성된다. 상기 공기 유입 시스템(2)은 상기 연소실(1)과 연결되어 상기 연소실(1)에 압축 공기를 수송하는 역할을 한다. 상기 재료 공급 시스템(3)은 상기 연소실(1)과 연결되어 상기 연소실(1)에 연료를 수송하는 역할을 한다. 상기 연소실(1) 부피는 고정적이며 피스톤과 같은 이동식 벽이 없고, 연료는 상기 연소실(1)에서 지속적으로 연소하며 고온 고압 기체를 생성하고, 연료의 화학 에너지가 고온 고압 기체의 내부 에너지로 전환된다. 상기 작업 시스템(4)은 상기 연소실(1)과 연결되어 상기 작업 시스템(4)의 피스톤(21) 작업이 기체의 내부 에너지를 기계 에너지로 전환한다."
6678,563,"The present invention provides a method of fabricating a SiGe-on-insulator substrate in which lattice engineering is employed to decouple the interdependence between SiGe thickness, Ge fraction and strain relaxation. The method includes providing a SiGe-on-insulator substrate material comprising a SiGe alloy layer having a selected in-plane lattice parameter, a selected thickness parameter and a selected Ge content parameter, wherein the selected in-plane lattice parameter has a constant value and one or both of the other parameters, i.e., thickness or Ge content, have adjustable values; and adjusting one or both of the other parameters to final selected values, while maintaining the selected in-plane lattice parameter. The adjusting is achieved utilizing either a thinning process or a thermal dilution process depending on which parameters are fixed and which are adjustable.","본 발명은 SiGe 두께, Ge 분율 및 변형 완화율 간의 상호 의존성을 분리하기 위해 격자 엔지니어링을 이용하고 있는 SiGe-온-절연체 기판을 제조하는 방법을 제공한다. 이 방법은 선택된 면내 격자 파라미터, 선택된 두께 파라미터 및 선택된 Ge 컨텐트 파라미터를 갖는 SiGe 합금층을 포함하는 SiGe-온-절연체 기판 물질을 제공하는 단계 - 상기 선택된 면내 격자 파라미터는 일정한 값을 가지며 상기 다른 파라미터 중 하나나 둘 다, 즉 두께나 Ge 컨텐트는 조절 가능한 값을 가짐 - ; 및 상기 선택된 면내 격자 파라미터를 유지하면서 상기 다른 파라미터 중 하나나 둘 다를 최종 선택 값으로 조절하는 단계를 포함한다. 조절 단계는 어느 파라미터가 고정되고 어느 것이 조절 가능한 지에 따라서 박막화 프로세스나 열 희석 프로세스를 이용하여 성취된다."
4383,125,"As a result of examining what kind of relationship there is with the behavioral intentions caused by the perceived values of tourists in urban tourist destinations, it was found that there is a significant causal relationship between the perceived values and behavioral intentions.","도시관광지 관광객의 지각된 가치로 인한 행동의도에는 어떠한 관련성이 있는가를 살펴본 결과, 지각된 가치와 행동의도 간에는 유의적인 인과관계가 있는 것으로 나타났다."
1317,71265,But the soup is delicious.,그런데 국물이 맛있다.
986,563,"To secure integration of a soil improvement body. A recess 114 is formed on an outer peripheral surface 112A of a preceding improvement pile 112 constructed by a mechanical agitation construction method, and a protrusion 124 engaged with the recess 114 is formed on the outer peripheral surface 122A of a following improvement pile 122 constructed by a high-pressure jetting type construction method. Thus, the improvement pile 112 constructed by the mechanical agitation construction method and the improvement pile 122 constructed by the high-pressure jetting type construction method are integrated together.","지반 개량체의 일체성을 확보한다. 기계 교반식 공법으로 구축된 선행의 개량말뚝 112의 외주면 112 A에는 오목부 114가 형성되고 고압 분사식 공법으로 구축된 후행의 개량말뚝 122의 외주면 122 A에는 오목부 114에 걸어맞추는 볼록부 124가 형성되어 있다. 따라서, 기계 교반식 공법의 개량말뚝 112와 고압 분사식 공법의 개량말뚝 122가 일체화되어 있다."
3597,126,"Given that the US midterm election is held on the 6th, the timing of vice chairman Kim's arrival will be on the 8th, and the meeting will be held on the 9th, one day after his arrival in New York.",미국 중간선거가 6일 실시되는 것을 감안하면 김 부위원장이 8일 뉴욕에 도착한 뒤 9일 회담하는 시간표가 가장 유력하다.
7760,71265,There are different types of goods in economics.,경제학에는 다양한 유형의 상품이 있습니다.
2974,71382,Cultural properties look like simple paintings and balls of iron on the surface.,문화재는 겉으로 보기에는 단순한 그림과 쇠덩이 같지만요.
1627,563,"Articles, compositions, and methods involving ionically conductive compounds are provided. In some embodiments, the ionically conductive compounds are useful for electrochemical cells. The disclosed ionically conductive compounds may be incorporated into an electrochemical cell (e.g., a lithium-sulfur electrochemical cell, a lithium-ion electrochemical cell, an intercalated-cathode based electrochemical cell) as, for example, a protective layer for an electrode, a solid electrolyte layer, and/or any other appropriate component within the electrochemical cell. In certain embodiments, electrodestructures and/or methods for making electrode structures including a layer comprising an ionically conductive compound described herein are provided.","이온 전도성 화합물을 포함하는 물품, 조성물 및 방법이 제공된다. 일부 실시양태에서, 상기 이온 전도성 화합물은 전기화학 셀에 유용하다. 개시된 이온 전도성 화합물은 예를 들어 전극용 보호층, 고체 전해질 층 및/또는 전기화학 셀 내의 임의의 다른 적절한 구성요소로서 전기화학 셀(예를 들어, 리튬-황 전기화학 셀, 리튬-이온 전기화학 셀, 인터칼레이션된-캐쏘드계 전기화학 셀)에 혼입될 수 있다. 특정 실시양태에서, 본원에 기재된 이온 전도성 화합물을 포함하는 층을 포함하는 전극 구조 및/또는 전극 구조를 제조하는 방법이 제공된다."
3487,71266,"Although the scope of authority is presented in this way, on the other hand, the principle of compromise can also be said to extend the rights of the developer when the scope of resources to be developed increases.",이렇게 권한 범위가 제시되어 있지만 한편으로 타협의 원칙은 개발하려는 자원의 범위가 늘어나는 경우 개발권자의 권리도 함께 확대된다는 말도 된다.
2199,125,"In this policy, students' right of choice is strengthened, and in the case of existing national/verified textbooks, the copyright belongs to the country of the publisher or writer.","이와 같은정책 학생의 선택권을 강화하고, 기존 국･검정 교과용도서의 경우 저작권은 국가 또는 출판사･집필진에 있다."
2910,71382,Eat Jumunjin's Hami melon and stay healthy~. ,주문진의 하미과 드시고 건강해지세요~.
7678,563,"A clipper (10) for artificial finger nails includes a substantially planar nail holder (28) having an arcuate opening (36) throughout for receiving an acrylic finger nail. Such a nail is cut by a blade (38) in sliding face-to-face relation with the nail holder (28) which slides over the opening (36) thereby cutting the nail. A slot (42) in the blade (38) has a post (44) extending therethrough. A screw (48) mounted on one end of the post (44) is received in a threaded insert (51) formed in a nose piece (50). On the other end of the post (44), a knurled knob (52) facilitates disassembly for changing a blade. A pair of transverse slots (62, 64) formed in the blade (38) receive a pair of teeth (66, 68) formed on a pivotable clipper handle (16) for converting rotational handle movement into transverse blade movement in rack-and-pinion fashion. Cut tips of the acrylic nails are caught and retained in a nail catcher (67) mounted on the nail holder (28).","인조손톱용 손톱깎이(10)는 실질적으로 평평한 손톱보유체(28)를 구비하는데, 이 손톱보유체는 아크릴 손톱을 수용하는 활모양의 구멍(36)을 가진다. 이 손톱은 손톱보유체(28)를 마주보며 미끄러지는 날(38)에 의하여 절단되는데, 이 날이 구멍(36) 위를 미끄러짐으로써, 손톱이 깎여진다. 날(38)에 형성된 슬롯(42)은 거기에서 관통 연장된 기둥(44)을 가진다. 기둥(44)의 일단에 장착된 나사(48)는 돌출편(50)에 형성된 나사인서트(51) 내부에 수용된다. 기둥(44)의 타단에서는 표면에 돌기가 형성된 손잡이(52)가 있어서, 날 교체시에 분해를 용이하게 한다. 랙과 피니언 방식으로 핸들의 회전운동을 날의 횡방향운동으로 변화시키기 위하여, 날(38)에 형성된 1쌍의 횡단 슬롯(63, 64)이 피봇팅 가능한 손톱깎이 핸들(16)에 형성된 1쌍의 톱니(66, 68)를 수용한다. 아크릴 손톱의 절단조각은 손톱보유체(28)에 장착된 손톱받이(67)에 포착 및 보관된다."
6543,126,The slowdown in economy and the precipice of real estate transactions are likely to directly hit the tax revenues.,경기둔화와 부동산 거래 절벽으로 세수가 직격탄을 맞을 가능성이 높다.
7427,126,"If you don't pay, you will suffer some losses when it comes to using your credit cards.",결재하지 않을 경우 카드 사용에 불이익이 있을 수 있습니다.
9452,71265,"Does the tax standard change if you register under the name of an individual, not the name of the company?",혹시 회사의 명의가 아닌 개인의 명의로 등록하면 세금 기준이 달라집니까?
2633,71382,"The father felt that his son, whom he thought was lacking, had grown a lot.",아버지는 부족하다고 여겼던 아들이 많이 자랐다고 느꼈다.
5678,111,Whether a dependent family who lives with a person who owns a house on the devolving land and occupies the land is a tenant who meets the requirements set forth in Article 10(5) of the Enforcement Decree of the Act on Disposal of Property Devolving upon the State.,귀속 대지상에 가옥을 소유하고 그 대지를 점유중인자와 동거하는 부양가족이 귀속재산 처리법 시행령 제10조 제5항 소정요건을 구비하는 임차인인가의 여부.
688,126,"In fact, the previous day, restaurants, bookstores, coffee shops and bakeries in the area, including Sinchon, told visitors that they ""can only buy it in cash, not with a credit card.""","실제로 전날 신촌 등 해당지역 식당과 서점, 커피숍, 빵집에서는 방문객들에게 “카드 결제가 안되니 현금으로만 구매할 수 있다”고 안내했다."
6582,71265,Understanding the process you will confront will make the difference between writing a PhD dissertation that can be defended successfully and proposing a dissertation that your committee rejects so you never get to first base.,"직면하게 될 과정을 이해하는 것은 성공적으로 완수될 수 있는 박사 학위 논문을 작성하는 것과,귀하의 위원회가 1루에 도달하지 못하도록 거부한 논문을 제안하는 것 사이에 차이를 만들 것입니다."
8808,563,"To prevent rocking in case of an earthquake which acts vertically and horizontally at the same time. The nuclear fuel storage rack comprises: a body part 2 for storing nuclear fuel assembly; and paired seismic isolation means 6, 6A for supporting the body part 2 and base-isolating vibrations in a vertical direction. The seismic isolation means 6 comprises: a piston 10 including a piston rod 13 on a top face of which the body part 2 is placed; and a casing 9 in which the piston 10 is reciprocatingly stored and which is vertically partitioned into first space 15 and second space 16 by the piston 10. The first space 15 of one of the paired seismic isolation means 6, 6A is connected to the second space 16A of the other of the seismic isolation means 6, 6A, and the second space 16 of the one of the seismic isolation means 6, 6A is connected to the first space 15A of the other of the seismic isolation means 6, 6A, via pipes 19, 20.","상하, 수평 동시에 작용하는 지진 시에 잠금을 방지한다. 핵연료 집합체를 수납하는 본체부 2와 본체부 2를 지지함과 동시에 상하 방향의 진동을 면진하는 쌍을 이루는 면진 수단 6,6 A를 구비하고, 면진 수단 6은 상면에 본체부 2가 재치되는 피스톤 로드 13이 마련된 피스톤 10과 내부에 피스톤 10이 왕복 운동 가능하게 수용되고 피스톤 10에 제1 공간 15와 제2 공간 16에 상하에 구분된 케이싱 9를 가지며, 쌍을 이루는 면진 장치 6,6 A의 한쪽 제1 공간 15와 다른 한쪽의 제2 공간 16 A 및 한쪽의 제2 공간 16과 다른 한쪽의 제1 공간 15 A가 배관 19,20을 통해 접속되어 있다."
1403,126,You must not be afraid to challenge something to succeed.,성공하기 위해서는 도전하는 것을 무서워하면 안됩니다.
2640,126,"The whole world calls South Korea a great country, and those who blame the Republic of Korea while residing in Korea are better to leave the country.","전세계가 대한민국을 위대한 나라라고 하는데, 대한민국 안에서 대한민국을 비난하는 사람들은 떠나야 한다."
3530,71382,"One day, a week after surgery. ",수술 후 일주일의 시간이 지난 어느 날입니다.
8910,71265,May I know the specific details of your cause?,이유에 대해 구체적으로 알 수 있을까요?
376,71266,"Starting with the opening ceremony in the auditorium of Pusan University of Foreign Studies on the 12th, presentations, workshops, and group activities continue until the 15th in the lecture halls of Pusan University of Foreign Studies.","12일 부산외대 대강당에서 개회식을 시작으로 15일까지 부산외대 강의실 등지에서 발표, 워크숍, 그룹활동이 이어진다."
1567,126,The head of the Gu may revoke the award of the prize upon ex officio when it is confirmed that the winner is disqualified under Article 4-2.,구청장은 수상자에게 제4조의2의 결격사유가 있음이 확인된 경우 직권으로 이 상의 수상을 취소할 수 있다.
4330,71382,Babe Steward is an avid gambler who makes a living by cheating at cards.,베이브 스튜어드는 카드 속임수로 판돈을 떼어 생계를 이어나가는 열렬한 도박꾼입니다.
4323,124,Intravenous or intrathecal chemotherapy has not found to be very useful for improving the overall survival of such patients either.,정맥 내 또는 척수강 내 항암화학요법은 그러한 환자들의 전반적인 생존을 향상시키는 데 그리 유용하지 않은 것으로 밝혀졌다.
5276,71266,"On the Taiwan side, Foreign Minister Lidaway and Cui Lin, president of the Yadong Relations Association, an exchange window agency with Japan, attended the performance.","대만 측에서는 리다웨이 외교부장, 일본과의 교류 창구 기관인 야둥관계협회 추이린 회장 등이 공연을 관람했다."
10074,124,"As a result, not only the I-V characteristics, but also the optical response was not observed in the other cases except for the deposition condition of 100℃.",그 결과 Ⅰ-Ⅴ 특성 뿐만 아니라 100℃의 증착 조건을 제외한 나머지 경우에서는 빛 응답이 나타나지 않았다.
8400,71266,"According to AAA theorem, the technological progress that accompanies a rise in the capital-labor ratio lowers the rate of profit and may not be adopted unless wages rise.",AAA 정리에서는 자본-노동비율 증가를 수반하는 기술진보는 이윤율을 하락시키므로 임금이 상승하지 않은 한 채택될 수 없다.
1363,71382,What are things that make Americans impatient?,미국인을 못 견디게 하는 것은 무엇이 있을까요?
8053,124,"Therefore, it is possible to determine whether the secondary battery is good or bad using the magnitude of the voltage decrease.","그 때문에, 전압 저하량의 대소에 의해 이차 전지의 양부를 판정할 수 있다는 것이다."
8244,126,"As the appointment of Chungbuk National University's next president is being delayed, concerns over possible disruptions to academic schedules are rising alongside with the opening of the second semester.",충북대학교의 차기 총장 임용 절차가 늦어지면서 2학기 개강과 맞물려 학사 일정 차질 등이 우려되고 있다.
3743,111,It is not consistent with the legislator's consistent amendment direction to gradually reduce working hours.,근로시간을 점차 축소하겠다는 입법자의 일관된 개정 방향과 부합하지 않는다.
6533,71265,The payment needs to be made via a Korean bank account.,한국 은행 계좌를 통해 지불해야 합니다.
5860,125,"The diversity of race, ethnicity, and culture is gradually bringing about changes in the school field.","인종, 민족, 문화의 다양성은 학교현장에서도 점차 변화를 가져오고 있다."
10221,124,The corrosion prevention layer 124 may be formed in the first blocking area 122a adjacent to the exposed area 123.,노출 영역(123)에 인접한 제1 차단 영역(122a)에 부식 방지층(124)이 형성될 수 있다.
273,111,"From the problem of starting with ""when, where, how, what, why"", to the hassle of having to look for related contents one by one, various reasons become obstacles to a new beginning.","'언제, 어디서, 어떻게, 무엇을, 왜'로 시작하는 문제부터 관련 내용을 일일이 찾아봐야 하는 번거로움 등 다양한 이유가 새로운 시작의 장애물이 된다."
237,125,This study confirmed that system quality and information quality affect trust and satisfaction.,본 연구는 시스템 품질과 정보 품질이 신뢰와 만족에 영향을 미치는 것을 확인하였다.
